Modelo,accuracy,precision,recall,f1,roc_auc,threshold,n_batches
Logistic Regression (Batch Ensemble),0.9022868009166707,0.07656341320864991,0.23603603603603604,0.11562224183583407,0.6836232343398826,0.6800000000000004,35.0
Random Forest (Batch Ensemble),0.9478277829245697,0.20969560315670802,0.33513513513513515,0.2579750346740638,0.8676454042495941,0.7000000000000004,35.0
